[2026-08-29T19:27:02.525Z] GET file:///Users/reet/Developer/Career/reetbatra/assets/header.svg → 200 (5ms, 7089B)
[2026-08-29T19:27:43.545Z] GET file:///Users/reet/Developer/Career/reetbatra/assets/header.svg → 200 (?ms, 7089B)
[2026-08-29T19:28:20.904Z] GET file:///private/tmp/claude-501/-Users-reet-Developer/2c30c7bd-7e07-4c7b-829f-54849b0b0430/scratchpad/prev.html → 200 (1ms, 150B)
[2026-08-29T19:28:20.914Z] GET file:///Users/reet/Developer/Career/reetbatra/assets/header.svg → 200 (2ms, 7089B)
[2026-08-29T19:28:37.312Z] GET file:///private/tmp/claude-501/-Users-reet-Developer/2c30c7bd-7e07-4c7b-829f-54849b0b0430/scratchpad/prev.html → 200 (1ms, 150B)
[2026-08-29T19:28:37.314Z] GET file:///Users/reet/Developer/Career/reetbatra/assets/header.svg → 200 (1ms, 7089B)
[2026-08-29T19:30:45.356Z] GET https://github.com/reetbatra → pending (?ms, ?B)
[2026-08-29T19:30:46.125Z] GET https://github.githubassets.com/assets/light-99f877e9ddfc0e51.css → 200 (104ms, 87305B)
[2026-08-29T19:30:46.125Z] GET https://github.githubassets.com/assets/light_high_contrast-48fdd0811afbab3c.css → 200 (104ms, 87975B)
[2026-08-29T19:30:46.125Z] GET https://github.githubassets.com/assets/dark-79ad2ace604703b3.css → 200 (103ms, 87137B)
[2026-08-29T19:30:46.125Z] GET https://github.githubassets.com/assets/dark_high_contrast-24484a076f02295f.css → 200 (104ms, 87869B)
[2026-08-29T19:30:46.125Z] GET https://github.githubassets.com/assets/primer-primitives-ed9ca172356fd545.css → 200 (103ms, 11008B)
[2026-08-29T19:30:46.125Z] GET https://github.githubassets.com/assets/primer-1d2c7f7b52a6068b.css → 200 (119ms, 411519B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/global-adcabba7b5c5d221.css → 200 (156ms, 296765B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/github-552513ad07a183a1.css → 200 (201ms, 128189B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/profile-f92baa562c27f6e0.css → 200 (200ms, 12352B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/insights-047b9bb0478fb09a.css → 200 (200ms, 10328B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/high-contrast-cookie-700cb8fd7174aa98.js → 200 (266ms, 1097B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/wp-runtime-933447118d8dea11.js → 200 (330ms, 86813B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/app-foundation-4437307b8f9d7771.js → 200 (266ms, 4622B)
[2026-08-29T19:30:46.126Z] GET https://github.githubassets.com/assets/app-runtime-8365b7f9078f5299.js → 200 (266ms, 83404B)
[2026-08-29T19:30:46.127Z] GET https://github.githubassets.com/assets/fetch-utilities-8fe90c8c85b950d2.js → 200 (328ms, 7171B)
[2026-08-29T19:30:46.127Z] GET https://github.githubassets.com/assets/78205-6cf07db9c71bd767.js → 200 (329ms, 29374B)
[2026-08-29T19:30:46.127Z] GET https://github.githubassets.com/assets/environment-82a65927e8bfb639.js → 200 (327ms, 6751B)
[2026-08-29T19:30:46.127Z] GET https://github.githubassets.com/assets/app-runtime.4edc00cd7dcee842.module.css → 200 (200ms, 4448B)
[2026-08-29T19:30:46.128Z] GET https://github.githubassets.com/assets/catalyst-38077bb411140672.js → 200 (325ms, 6410B)
